Unnamed: 0,Class,class_encoded,gene_17801,gene_89,gene_19339,gene_16372,gene_6611,gene_14092,gene_15906,gene_1750,gene_18745,gene_1784
sample_0,PRAD,4,0.7399274632539893,0.8085526948972737,0.2830897882483476,0.6945427134354727,0.7350588837333469,0.3571132095040225,0.7245012619511164,0.13433945740245123,0.7411831547924841,0.613633688416304
sample_1,LUAD,3,0.45175722462831996,0.5154778784929682,0.3431389601011084,0.43442840505793784,0.5235062920124611,0.24217878107013832,0.3060451278564919,0.2828104509225064,0.11934710832907608,0.5110105429347647
sample_2,PRAD,4,0.09028305187268665,0.8531999083716889,0.054012852452891946,0.6266877520283757,0.24498682718932008,0.36107370773451,0.145850454505887,0.09026513825467557,0.589363654312935,0.5689146823921781
sample_3,PRAD,4,0.486308212726054,0.9267821185053196,0.38620464103097024,0.950614899150003,0.5015461134041637,0.399962179080237,0.44985475807124414,0.12303215368094692,0.9301898556285911,0.926884043734315
sample_4,BRCA,0,0.12069102528442247,0.35308456697177404,0.8263734723147909,0.4236365896353439,0.2697358752564148,0.8946390872833192,0.2007117702853291,0.654922666636076,0.19528931771517066,0.25223658766758117
sample_5,PRAD,4,0.7874090145014526,0.9084648004786942,0.1907126333339389,0.9179167614321107,0.709016318471605,0.5074181226998329,0.6079604591530489,0.5526717415905757,0.9871840409451911,0.7915646510867768
sample_6,KIRC,2,0.8080257661504238,0.40368628800713413,0.596550472074304,0.6448860850174599,0.7146516234505353,0.2479327198164185,0.8145114758976821,0.18412909656885784,0.22198506841162707,0.25658470859318067
sample_7,PRAD,4,0.9373934408158741,0.77681231732845,0.28467510478396824,0.8826751991742092,0.9372294276888677,0.5023798739197067,0.8698282979200823,0.26478513507903084,0.7913477952533248,0.6910317005097881
sample_8,BRCA,0,0.0,0.49433787302957044,0.4804326515466178,0.2770515618080726,0.22615630353134558,0.7882503404560754,0.14592830239418184,0.8046337225369236,0.1448012858680172,0.63766552482301
sample_9,PRAD,4,0.6863537294398893,0.8087283451295947,0.199393002565041,0.7765164053082941,0.7462974345569016,0.2659162934325546,0.6725057549792955,0.15556185011090967,0.933110701519326,0.9709803385608208
sample_10,BRCA,0,0.07504110807333159,0.3621431357695446,0.834091751368718,0.23540204014954588,0.16051625152789864,0.7796585437873729,0.19755404015030092,0.5186708444474355,0.13158450760679818,0.4703741600736169
sample_11,KIRC,2,0.4659743149747697,0.6088837593823128,0.6482714332034816,0.7669280288658689,0.6714727841843393,0.4669251307120337,0.2683273668768323,0.2267879754307412,0.028019191441248054,0.44326277702209943
sample_12,PRAD,4,0.6936029199885547,0.7806220154916791,0.41006029053826326,0.7578313485702668,0.7074574921254548,0.4708740688669088,0.6685270953915753,0.28404397259490755,0.7164663881543902,0.8655017148819308
sample_13,BRCA,0,0.11881668970824945,0.257717161528628,0.7542955227187698,0.13251414211240117,0.4018911754934383,0.7454364997983727,0.24010491261741312,0.6384033357806592,0.09302723808251907,0.22512210157287377
sample_14,BRCA,0,0.0371065476166283,0.2996814538109399,0.7905026466095242,0.052464024960813295,0.1969909271547605,0.7418725528997581,0.0,0.6163405818291995,0.029052481162608456,0.23536286488512903
sample_15,BRCA,0,0.12436800071359581,0.4087882007039477,0.8207268261921328,0.632162484722864,0.25062471770147554,0.8012067865055483,0.19018837556859486,0.7905202996099745,0.09737362352578066,0.26543826032963347
sample_16,LUAD,3,0.5516197069547432,0.4876638503629456,0.24986858692707653,0.7014726057608646,0.5384166075245977,0.4855137952402539,0.4294108371284979,0.22850300673874402,0.2731091986853043,0.6762911825240084
sample_17,KIRC,2,0.5917626919907691,0.6559074046111617,0.6378610517660288,0.7760494156139729,0.7002745032531887,0.4444229071545863,0.528205393216726,0.33177432871143037,0.22097929577947337,0.622339074322364
sample_18,KIRC,2,0.6947534683773904,0.660535059166755,0.6445226273902918,0.826314320805503,0.6362814222320441,0.5216444457379136,0.6156442363685398,0.3390479748943819,0.29415010746094444,0.44749306435892094
sample_19,PRAD,4,0.6380015517187716,0.846523327919634,0.4124086685611997,0.7887432175900103,0.7023143009308508,0.6036130483760787,0.6617439609469941,0.23857751869856067,0.8721589421471487,0.7528328706794495
sample_20,BRCA,0,0.10865295004501557,0.4333175864875882,0.7627414349950878,0.26395776007591676,0.37824647724619176,0.812999643188822,0.1292792872133691,0.8313264084618299,0.08506956284529393,0.12453237099255235
sample_21,KIRC,2,0.43135309497915525,0.4827519677170097,0.27994324985284674,0.8596043585054405,0.3396105093094221,0.3609363644934878,0.35037961423058184,0.3035300813104954,0.3266209318999551,0.4643208468541286
sample_22,LUAD,3,0.7166084681499334,0.6474929187375343,0.2708032313296816,0.5430112583061524,0.7044485028517744,0.17766975991388953,0.5768120328115979,0.23679743213772694,0.03045427687411116,0.3203737409129537
sample_23,BRCA,0,0.0,0.16482602894674955,0.8255661206993472,0.24531971666848176,0.14874883540950762,0.6577632786137819,0.0,0.4231615846688098,0.0,0.0
sample_24,KIRC,2,0.17572988027557288,0.713383731986549,0.7462593072960555,0.8524575203754916,0.620577179774249,0.4201628671544835,0.1156137922085762,0.13139379920037433,0.0956456999580457,0.5209172764913289
sample_25,LUAD,3,0.8642942347888429,0.6361431547914616,0.34218492474066703,0.6613847615302635,0.6778598925039996,0.3538158457400897,0.7270831445959914,0.44030227711303177,0.3117285697775304,0.7884438930222523
sample_26,COAD,1,0.5798389964281996,0.49948332543487883,0.7240162834027908,0.3218002800148823,0.7458036969731976,0.6052073166874578,0.38183433375075093,0.4315509974505919,0.0,0.35894652733931026
sample_27,BRCA,0,0.04109409902276726,0.35244876679379655,0.3387043591091267,0.280484883439527,0.21810225224909907,0.7591946567043939,0.26400385117939057,0.4738205751670662,0.0,0.3037027779818314
sample_28,BRCA,0,0.08964788912968248,0.5738688285451622,0.49206686404466143,0.3619267137841965,0.1830561952506646,0.7770412879381517,0.246843381712297,0.9070804158912023,0.18744438558286994,0.5357280882137407
sample_29,BRCA,0,0.033223344944830056,0.5616826182577197,0.42065466170120164,0.316127157337623,0.18988891822529716,0.7695406774350058,0.11829244842315792,0.85226104135463,0.11060883799825051,0.7197017054428857
sample_30,BRCA,0,0.0,0.3229242892308696,0.8887844877046334,0.29028913483968566,0.2741331108543094,0.7231939491491691,0.09077949648857746,0.5997609230087799,0.0,0.36333357610557493
sample_31,BRCA,0,0.0,0.5846644880095216,0.8153279294292817,0.266862268089014,0.4143608673389495,0.8205704023878416,0.0,0.8118525922443324,0.0,0.2891696934516615
sample_32,KIRC,2,0.5686923240975222,0.6170781925751297,0.5438103700901034,0.5880268896553269,0.5113656600255962,0.3865206908807544,0.4907245094256189,0.40794321929286403,0.12460831105543904,0.37628402734099003
sample_33,BRCA,0,0.25744003540271193,0.3479596581018003,0.7754708060274533,0.28261074463123065,0.3390215523103035,0.7809403977300307,0.4656866662421832,0.5494531647542694,0.08985301932469322,0.3358346071503276
sample_34,PRAD,4,0.7708372599181424,0.7278824822146986,0.33926505334251184,0.6913004692590388,0.7191007615696194,0.42503976182972364,0.7582441716923863,0.19127834175127695,0.6657929743058997,0.8186409295802162
sample_35,BRCA,0,0.0,0.2769294846464272,0.762598489498933,0.2567944123914279,0.2796615485122478,0.8293539952366958,0.28894460502897157,0.6465847256729469,0.0,0.35347627287388195
sample_36,KIRC,2,0.6502825145538056,0.542737669429222,0.7542878912013751,0.7912166071337169,0.6618870846823373,0.46594834669504787,0.550037864152081,0.33189993459656897,0.24516290245966926,0.45257428262320765
sample_37,LUAD,3,0.7226313731734513,0.5419687096810101,0.49219852610767295,0.7022600065654033,0.6051325697094765,0.13674948913295853,0.6481705524466546,0.4698426484249194,0.15959330532225452,0.750465774881202
sample_38,BRCA,0,0.036399083766201906,0.28138539969986165,0.9077416634584541,0.22467242614806926,0.40997840927096985,0.7229139268866733,0.17794336163436744,0.5869724299947215,0.02849857406243596,0.2785634060709041
sample_39,BRCA,0,0.07610093221513137,0.3604837203643644,0.4827470233025362,0.262876127801992,0.35491038507472944,0.6740059153927688,0.2597385811268896,0.5485057891293085,0.2853918012642741,0.3240370252578884
sample_40,KIRC,2,0.4849328309443539,0.6261312079856104,0.6517076650779239,0.7647177388574545,0.6469105665040809,0.40140767498042884,0.46756878258936696,0.28426500516556613,0.1149950983821634,0.5818622937548764
sample_41,PRAD,4,0.7134735586205171,0.8111607425066818,0.29068106664078747,0.836109276861721,0.7980289769280631,0.4006004150502909,0.7108341139248385,0.1613840375907089,0.8797839365621414,0.7679020387122862
sample_42,PRAD,4,0.6719376325005458,0.7613004841624307,0.3063533836087173,0.7297218532211156,0.7516089786648545,0.5653690137727991,0.7211436426660885,0.26454194561656635,0.7163139091776841,0.8421912996929991
sample_43,KIRC,2,0.6489237720925484,0.6098522309781463,0.6535024683774266,0.7835737832814395,0.6092398001016348,0.45814100421703996,0.39054794866105796,0.23133253817401936,0.07614525039236886,0.540922044164851
sample_44,KIRC,2,0.640687673275885,0.6148327499782766,0.6093289035687792,0.7890499458366741,0.691117807793723,0.41116026103557496,0.4614509136614421,0.17062711987938164,0.09479253951929596,0.49235160171425457
sample_45,BRCA,0,0.0,0.42607804709537844,0.7967505504488301,0.15399026046039735,0.24700687976945962,0.8188882913569635,0.06834736794899283,0.6737981615687044,0.0753930197276285,0.19479090181785924
sample_46,PRAD,4,0.8251341461460968,0.55204762096217,0.1282537517853939,0.6506316897570976,0.9999999999999998,0.3267309370147671,0.9610265083212873,0.3059517695211969,0.7511618378576163,0.6651609973702226
sample_47,COAD,1,0.30817064112582915,0.38276229862200917,0.5842757826916583,0.4873312645334279,0.5317836258142088,0.4957478598943655,0.24055844087059777,0.10924346143132234,0.11023202007294686,0.6578191344651073
sample_48,BRCA,0,0.13759775057494505,0.43161178242113774,0.7457440812305658,0.17843249798887897,0.2640672116864018,0.8133879057780145,0.10981846595790559,0.6014550957710952,0.15690233318490668,0.14429930485943093
sample_49,LUAD,3,0.4883149124811038,0.5537525812994296,0.23482118679710634,0.6937199321190796,0.5894582751812756,0.2414925927786431,0.31087315160264395,0.26245629024386896,0.4697918227865205,0.591646356977361
sample_50,BRCA,0,0.055335913817386694,0.34897475523645616,0.8890772270455383,0.1939326701059237,0.1803153662414752,0.8305386172277065,0.07808988525894488,0.7281276569744449,0.043325119070762835,0.21087208901766533
sample_51,LUAD,3,0.46379595603185464,0.6214761719304581,0.12791050824440015,0.7182731490092815,0.5928214914210916,0.5140661204781893,0.49093042671817405,0.5480382832349441,0.4521616855340548,0.6721239045842542
sample_52,BRCA,0,0.0431162560621457,0.5249354254393778,0.57684625417017,0.39624117662452685,0.28318657363696864,0.6382560770198258,0.15882740443186527,0.6329174052565789,0.12060807557786697,0.2330280881971647
sample_53,PRAD,4,0.6009015431838975,0.8806998076788376,0.3436469511926888,0.9710231297401293,0.73180472571467,0.3821720711592164,0.5883933783524652,0.10319665631506823,0.919004916564282,0.6942301010830841
sample_54,COAD,1,0.10269318565329505,0.45429563103507953,0.6826259450907741,0.14239846270711298,0.3712716315984471,0.6137147934919566,0.18326243968419978,0.3255083292322972,0.027295548118229068,0.4251585096160887
sample_55,BRCA,0,0.0,0.4432265083633564,0.551317389103037,0.14017508920487082,0.5544567464919947,0.6905541215035276,0.14786657349264262,0.5114145655285741,0.5220701365384094,0.41481821123440954
sample_56,BRCA,0,0.0,0.31868314973872536,0.7888537072432,0.24176276047307318,0.331949667458368,0.7626491572332502,0.10622488694585686,0.6896748744303072,0.08066353057171734,0.07493818075536687
sample_57,COAD,1,0.6181964323717745,0.5911382871807085,0.7339585433302132,0.33075255411867566,0.7582111924025061,0.6286307318102661,0.13670494724752963,0.46755044001853624,0.0,0.34026358066359325
sample_58,KIRC,2,0.699328430680168,0.5749970870625221,0.6805198818330742,0.7278937242261104,0.7107827920400906,0.44069951402353186,0.5418962227750407,0.3159459905764832,0.15994793317774564,0.5197030625078904
